date,category,region,channel,units,unit_price,discount,sales
2023-01-01,Electronics,Dhaka,Online,3,10745.3,0.054,28572.05
2023-01-01,Electronics,Dhaka,Online,1,9812.28,0.096,8504.26
2023-01-01,Electronics,Chattogram,Online,1,17528.49,0.1,14349.23
2023-01-01,Electronics,Khulna,Online,1,10703.45,0.127,8588.57
2023-01-01,Electronics,Dhaka,Store,1,10847.32,0.08,10799.74
2023-01-01,Electronics,Khulna,Store,1,9131.12,0.09,9091.27
2023-01-01,Fashion,Chattogram,Online,1,2017.59,0.133,1672.89
2023-01-01,Fashion,Khulna,Online,1,2430.52,0.124,2225.67
2023-01-01,Fashion,Dhaka,Online,1,2331.18,0.129,1962.29
2023-01-01,Fashion,Khulna,Store,2,2171.48,0.13,3490.21
2023-01-01,Fashion,Dhaka,Store,3,2042.14,0.077,5211.48
2023-01-01,Fashion,Khulna,Online,1,2113.01,0.098,1872.07
2023-01-01,Home & Living,Chattogram,Store,2,3669.25,0.064,6497.74
2023-01-01,Home & Living,Dhaka,Online,1,2192.69,0.097,1869.38
2023-01-01,Home & Living,Rajshahi,Online,2,3487.05,0.15,6485.82
2023-01-01,Home & Living,Dhaka,Store,1,4245.53,0.203,3079.53
2023-01-01,Home & Living,Khulna,Store,1,4456.9,0.08,3890.38
2023-01-01,Home & Living,Dhaka,Store,2,5262.34,0.15,9014.05
2023-01-01,Home & Living,Dhaka,Online,1,4275.34,0.055,4184.44
2023-01-01,Beauty,Chattogram,Online,1,1719.65,0.018,1795.0
2023-01-01,Beauty,Khulna,Store,1,1111.19,0.14,927.3
2023-01-01,Beauty,Dhaka,Online,3,1579.13,0.044,4079.43
2023-01-01,Beauty,Khulna,Store,2,1236.84,0.119,2102.36
2023-01-01,Beauty,Rajshahi,Online,3,1130.13,0.041,3083.6
2023-01-01,Beauty,Dhaka,Online,4,1120.27,0.078,4314.09
2023-01-01,Beauty,Rajshahi,Online,1,1439.67,0.116,1149.72
2023-01-01,Sports,Khulna,Store,4,3536.67,0.023,17096.74
2023-01-01,Sports,Rajshahi,Online,2,3824.47,0.106,8444.14
2023-01-01,Sports,Dhaka,Online,4,3301.38,0.118,13061.83
2023-01-01,Sports,Chattogram,Online,1,4958.23,0.0,5458.54
2023-01-01,Sports,Chattogram,Store,1,3202.68,0.134,2950.12
2023-01-01,Sports,Khulna,Store,1,5005.09,0.172,4895.83
2023-01-01,Sports,Dhaka,Store,2,3219.97,0.0,6781.54
2023-01-02,Electronics,Rajshahi,Store,1,14042.02,0.143,11502.89
2023-01-02,Electronics,Dhaka,Online,2,10421.6,0.016,21572.6
2023-01-02,Electronics,Chattogram,Online,1,11487.23,0.174,8731.64
2023-01-02,Electronics,Dhaka,Online,1,15526.01,0.008,15813.97
2023-01-02,Fashion,Rajshahi,Online,3,1956.41,0.186,4824.89
2023-01-02,Fashion,Dhaka,Store,3,2311.27,0.049,6030.88
2023-01-02,Fashion,Khulna,Store,1,1966.61,0.122,1594.34
2023-01-02,Fashion,Rajshahi,Online,3,2418.49,0.044,7359.89
2023-01-02,Fashion,Dhaka,Store,2,2814.93,0.058,5574.55
2023-01-02,Fashion,Rajshahi,Online,2,2105.27,0.123,3333.34
2023-01-02,Fashion,Khulna,Store,4,1490.35,0.058,5426.49
